source;target;weight
Li Heng;Rautiainen Mikko;3
Chaisson Mark J P;Li Heng;5
Korbel Jan O;Li Heng;4
Eichler Evan E;Li Heng;5
Li Heng;Marschall Tobias;6
Paten Benedict;Phillippy Adam M;5
Paten Benedict;Rautiainen Mikko;5
Chaisson Mark J P;Paten Benedict;5
Korbel Jan O;Paten Benedict;5
Eichler Evan E;Paten Benedict;6
Marschall Tobias;Paten Benedict;9
Phillippy Adam M;Rautiainen Mikko;4
Chaisson Mark J P;Phillippy Adam M;5
Korbel Jan O;Phillippy Adam M;4
Eichler Evan E;Phillippy Adam M;6
Marschall Tobias;Phillippy Adam M;5
Rausch Tobias;Söylev Arda;3
Rausch Tobias;Tsapalou Vasiliki;3
Rausch Tobias;Zody Michael C;3
Dilthey Alexander T;Rausch Tobias;3
Korbel Jan O;Rausch Tobias;5
Eichler Evan E;Rausch Tobias;3
Marschall Tobias;Rausch Tobias;5
Chaisson Mark J P;Rautiainen Mikko;3
Korbel Jan O;Rautiainen Mikko;3
Eichler Evan E;Rautiainen Mikko;4
Marschall Tobias;Rautiainen Mikko;7
Söylev Arda;Tsapalou Vasiliki;3
Korbel Jan O;Söylev Arda;3
Marschall Tobias;Söylev Arda;3
Korbel Jan O;Tsapalou Vasiliki;3
Marschall Tobias;Tsapalou Vasiliki;3
Dilthey Alexander T;Zody Michael C;3
Korbel Jan O;Zody Michael C;3
Eichler Evan E;Zody Michael C;3
Marschall Tobias;Zody Michael C;3
Chaisson Mark J P;Korbel Jan O;4
Chaisson Mark J P;Eichler Evan E;5
Chaisson Mark J P;Marschall Tobias;5
Dilthey Alexander T;Korbel Jan O;3
Dilthey Alexander T;Eichler Evan E;3
Dilthey Alexander T;Marschall Tobias;3
Eichler Evan E;Korbel Jan O;6
Korbel Jan O;Marschall Tobias;8
Barry Kerrie;Lovell John T;3
Lipzen Anna;Lovell John T;3
Grimwood Jane;Lovell John T;4
Lovell John T;Schmutz Jeremy;4
Barry Kerrie;Lipzen Anna;5
Barry Kerrie;Talag Jayson;3
Barry Kerrie;Grimwood Jane;4
Barry Kerrie;Schmutz Jeremy;4
Grimwood Jane;Jenkins Jerry;4
Jenkins Jerry;Schmutz Jeremy;4
Grimwood Jane;Lipzen Anna;3
Lipzen Anna;Schmutz Jeremy;3
Grimwood Jane;Webber Jenell;3
Schmutz Jeremy;Webber Jenell;3
Grimwood Jane;Talag Jayson;3
Schmutz Jeremy;Talag Jayson;3
Grimwood Jane;Schmutz Jeremy;9
Islam Md Rafiul;Mondol Spencer Mark;4
Mondol Spencer Mark;Shakil Shahriar Kabir;3
Islam Israt;Mondol Spencer Mark;3
Mondol Spencer Mark;Rakhi Nadira Naznin;3
Mondol Spencer Mark;Mustary Jannatul Ferdous;3
Amiruzzaman;Mondol Spencer Mark;4
Mondol Spencer Mark;Rahaman Md Mizanur;4
Islam Md Rafiul;Shakil Shahriar Kabir;3
Islam Israt;Islam Md Rafiul;3
Islam Md Rafiul;Rakhi Nadira Naznin;3
Islam Md Rafiul;Mustary Jannatul Ferdous;3
Amiruzzaman;Islam Md Rafiul;4
Islam Md Rafiul;Rahaman Md Mizanur;4
Islam Israt;Shakil Shahriar Kabir;3
Rakhi Nadira Naznin;Shakil Shahriar Kabir;3
Mustary Jannatul Ferdous;Shakil Shahriar Kabir;3
Amiruzzaman;Shakil Shahriar Kabir;3
Rahaman Md Mizanur;Shakil Shahriar Kabir;3
Islam Israt;Rakhi Nadira Naznin;3
Islam Israt;Mustary Jannatul Ferdous;3
Amiruzzaman;Islam Israt;3
Islam Israt;Rahaman Md Mizanur;3
Mustary Jannatul Ferdous;Rakhi Nadira Naznin;3
Amiruzzaman;Rakhi Nadira Naznin;3
Rahaman Md Mizanur;Rakhi Nadira Naznin;3
Amiruzzaman;Mustary Jannatul Ferdous;3
Mustary Jannatul Ferdous;Rahaman Md Mizanur;3
Amiruzzaman;Rahaman Md Mizanur;4
Kalan Lindsay R;Salamzade Rauf;3
Hossain M Anwar;Sultana Munawar;3
Chen Chunhong;Norman Michael;3
Chen Chunhong;Forrest Kerrie;3
Bariana Harbans;Chen Chunhong;3
Bansal Urmil;Chen Chunhong;3
Chen Chunhong;Periyannan Sambasivam;3
Forrest Kerrie;Norman Michael;3
Bariana Harbans;Norman Michael;3
Bansal Urmil;Norman Michael;3
Norman Michael;Periyannan Sambasivam;3
Bariana Harbans;Forrest Kerrie;3
Bansal Urmil;Forrest Kerrie;3
Forrest Kerrie;Periyannan Sambasivam;3
Bansal Urmil;Bariana Harbans;3
Bariana Harbans;Periyannan Sambasivam;4
Bansal Urmil;Periyannan Sambasivam;3
Guo Yu;Lux Thomas;3
Jayakodi Murukarthick;Lux Thomas;5
Lux Thomas;Šimková Hana;3
Guo Yu;Himmelbach Axel;3
Himmelbach Axel;Jayakodi Murukarthick;4
Guo Yu;Haberer Georg;3
Haberer Georg;Jayakodi Murukarthick;5
Guo Yu;Jayakodi Murukarthick;3
Fiebig Anne;Guo Yu;3
Guo Yu;Mayer Klaus F X;3
Guo Yu;Spannagl Manuel;3
Guo Yu;Stein Nils;3
Guo Yu;Mascher Martin;3
Fiebig Anne;Jayakodi Murukarthick;4
Jayakodi Murukarthick;Mayer Klaus F X;5
Jayakodi Murukarthick;Spannagl Manuel;5
Jayakodi Murukarthick;Stein Nils;5
Jayakodi Murukarthick;Mascher Martin;9
Mayer Klaus F X;Šimková Hana;3
Spannagl Manuel;Šimková Hana;3
Stein Nils;Šimková Hana;3
Mascher Martin;Šimková Hana;3
Dong Xiaorui;Jiao Du;4
Dong Xiaorui;Xue Hongzhang;5
Dong Xiaorui;Fan Shiyu;3
Dong Xiaorui;Wei Chaochun;7
Fan Shiyu;Jiao Du;3
Jiao Du;Wei Chaochun;4
Wei Chaochun;Xue Hongzhang;5
Fan Shiyu;Wei Chaochun;3
Islam Sk Injamamul;Permpoonpattana Patima;3
Islam Sk Injamamul;Linh Nguyen Vu;3
Linh Nguyen Vu;Permpoonpattana Patima;3
Li Yan;Zhang Yong-Jun;3
Li Yan;Sun Yang;3
Sun Yang;Zhang Yong-Jun;5
Suwannasin Sirikan;Yaikhan Thunchanok;3
Singkhamanan Kamonnut;Yaikhan Thunchanok;4
Wonglapsuwan Monwadee;Yaikhan Thunchanok;3
Surachat Komwit;Yaikhan Thunchanok;4
Arif Mohammad;Arizala Dario;3
Paredes-Sabja Daniel;Rodríguez César;3
Azarian Taj;Grant Lindsay R;4
Azarian Taj;Hammitt Laura L;4
Azarian Taj;Hanage William P;3
Azarian Taj;Lipsitch Marc;3
Grant Lindsay R;Hammitt Laura L;5
Grant Lindsay R;Hanage William P;4
Grant Lindsay R;Lipsitch Marc;4
Hammitt Laura L;Hanage William P;4
Hammitt Laura L;Lipsitch Marc;4
Hanage William P;Lipsitch Marc;5
Chitikineni Annapurna;Garg Vanika;6
Garg Vanika;Yang Bicheng;3
Garg Vanika;Siddique Kadambot H M;4
Garg Vanika;Liu Xin;4
Garg Vanika;Varshney Rajeev K;9
Chitikineni Annapurna;Yang Bicheng;3
Chitikineni Annapurna;Siddique Kadambot H M;4
Chitikineni Annapurna;Liu Xin;4
Chitikineni Annapurna;Varshney Rajeev K;8
Siddique Kadambot H M;Yang Bicheng;3
Liu Xin;Yang Bicheng;3
Varshney Rajeev K;Yang Bicheng;3
Liu Xin;Siddique Kadambot H M;4
Siddique Kadambot H M;Varshney Rajeev K;4
Liu Xin;Varshney Rajeev K;4
Zhang Lida;Zhou Xiujuan;3
Shi Xianming;Zhou Xiujuan;3
Shi Xianming;Zhang Lida;3
Langmead Ben;Rossi Massimiliano;4
Boucher Christina;Rossi Massimiliano;4
Boucher Christina;Langmead Ben;4
Asri Mobin;Chang Pi-Chuan;4
Asri Mobin;Kolesnikov Alexey;4
Asri Mobin;Cook Daniel E;4
Asri Mobin;Brambrink Lucas;3
Asri Mobin;Novak Adam M;3
Asri Mobin;Carroll Andrew;4
Asri Mobin;Paten Benedict;6
Asri Mobin;Shafin Kishwar;5
Chang Pi-Chuan;Eskandar Parsa;3
Chang Pi-Chuan;Kolesnikov Alexey;4
Chang Pi-Chuan;Cook Daniel E;4
Brambrink Lucas;Chang Pi-Chuan;3
Eskandar Parsa;Sirén Jouni;4
Eskandar Parsa;Hickey Glenn;3
Eskandar Parsa;Novak Adam M;3
Carroll Andrew;Eskandar Parsa;3
Eskandar Parsa;Paten Benedict;4
Cook Daniel E;Kolesnikov Alexey;4
Brambrink Lucas;Kolesnikov Alexey;3
Carroll Andrew;Kolesnikov Alexey;4
Kolesnikov Alexey;Paten Benedict;4
Kolesnikov Alexey;Shafin Kishwar;4
Brambrink Lucas;Cook Daniel E;3
Carroll Andrew;Cook Daniel E;4
Cook Daniel E;Paten Benedict;4
Cook Daniel E;Shafin Kishwar;4
Brambrink Lucas;Carroll Andrew;3
Brambrink Lucas;Paten Benedict;3
Brambrink Lucas;Shafin Kishwar;3
Li Jiawei;Yang Qing-Yong;3
Liu Kede;Yang Qing-Yong;3
Yang Qing-Yong;Yang Zhiquan;3
Liu Kede;Yang Zhiquan;3
Arredondo-Alonso Sergio;Corander Jukka;3
Arredondo-Alonso Sergio;Pöntinen Anna K;3
Corander Jukka;Pöntinen Anna K;3
Grover Corrinne E;Wang Maojun;3
Grover Corrinne E;Jin Shuangxia;3
Grover Corrinne E;Zhang Xianlong;3
Jin Shuangxia;Wang Maojun;4
Wang Maojun;Wendel Jonathan F;3
Wang Maojun;Zhang Xianlong;5
Jin Shuangxia;Wendel Jonathan F;3
Jin Shuangxia;Zhang Xianlong;4
Wendel Jonathan F;Zhang Xianlong;3
Chen Fei;Xiao Jingfa;4
Chen Meili;Xiao Jingfa;5
Bottacini Francesca;van Sinderen Douwe;6
Brinkac Lauren;Sutton Granger;4
Fouts Derrick E;Sutton Granger;5
Asri Mobin;Nattestad Maria;3
Asri Mobin;Lucas Julian;3
Hebbar Prajna;Paten Benedict;3
Kolesnikov Alexey;Nattestad Maria;3
Cook Daniel E;Nattestad Maria;3
Chang Pi-Chuan;Nattestad Maria;3
Carroll Andrew;Nattestad Maria;3
Nattestad Maria;Paten Benedict;3
Nattestad Maria;Shafin Kishwar;3
Lucas Julian;Paten Benedict;3
Lucas Julian;Shafin Kishwar;3
Jiang Bin;Wang Xu;4
Sun Yang;Wang Xu;5
Jiang Bin;Sun Yang;4
Gluck-Thaler Emile;Vogan Aaron A;3
Cramer Robert A;Stajich Jason E;3
Wang Chufang;Ye Qinghua;4
Wang Chufang;Zhang Jumei;4
Shang Yuting;Wang Chufang;4
Li Fan;Wang Chufang;4
Wang Chufang;Zhou Baoqing;4
Wang Chufang;Xiang Xinran;4
Pang Rui;Wang Chufang;4
Ding Yu;Wang Chufang;4
Chen Moutong;Wang Chufang;4
Wang Chufang;Wu Qingping;4
Wang Chufang;Wang Juan;3
Ye Qinghua;Zhang Jumei;8
Shang Yuting;Ye Qinghua;5
Li Fan;Ye Qinghua;5
Ye Qinghua;Zhou Baoqing;4
Xiang Xinran;Ye Qinghua;5
Gu Qihui;Ye Qinghua;5
Pang Rui;Ye Qinghua;5
Ding Yu;Ye Qinghua;6
Wu Shi;Ye Qinghua;5
Chen Moutong;Ye Qinghua;6
Wu Qingping;Ye Qinghua;8
Wang Juan;Ye Qinghua;5
Shang Yuting;Zhang Jumei;6
Li Fan;Zhang Jumei;5
Zhang Jumei;Zhou Baoqing;4
Xiang Xinran;Zhang Jumei;5
Gu Qihui;Zhang Jumei;7
Pang Rui;Zhang Jumei;7
Ding Yu;Zhang Jumei;10
Wu Shi;Zhang Jumei;6
Chen Moutong;Zhang Jumei;8
Wu Qingping;Zhang Jumei;12
Wang Juan;Zhang Jumei;8
Li Fan;Shang Yuting;4
Shang Yuting;Zhou Baoqing;4
Shang Yuting;Xiang Xinran;6
Pang Rui;Shang Yuting;4
Ding Yu;Shang Yuting;5
Chen Moutong;Shang Yuting;4
Shang Yuting;Wu Qingping;6
Shang Yuting;Wang Juan;4
Li Fan;Zhou Baoqing;4
Li Fan;Xiang Xinran;4
Gu Qihui;Li Fan;3
Li Fan;Pang Rui;4
Ding Yu;Li Fan;5
Li Fan;Wu Shi;3
Chen Moutong;Li Fan;5
Li Fan;Wu Qingping;5
Li Fan;Wang Juan;4
Xiang Xinran;Zhou Baoqing;4
Pang Rui;Zhou Baoqing;4
Ding Yu;Zhou Baoqing;4
Chen Moutong;Zhou Baoqing;4
Wu Qingping;Zhou Baoqing;4
Wang Juan;Zhou Baoqing;3
Pang Rui;Xiang Xinran;4
Ding Yu;Xiang Xinran;4
Chen Moutong;Xiang Xinran;4
Wu Qingping;Xiang Xinran;5
Wang Juan;Xiang Xinran;3
Gu Qihui;Pang Rui;5
Ding Yu;Gu Qihui;6
Gu Qihui;Wu Shi;6
Chen Moutong;Gu Qihui;6
Gu Qihui;Wu Qingping;7
Gu Qihui;Wang Juan;5
Ding Yu;Pang Rui;7
Pang Rui;Wu Shi;4
Chen Moutong;Pang Rui;6
Pang Rui;Wu Qingping;7
Pang Rui;Wang Juan;5
Ding Yu;Wu Shi;5
Chen Moutong;Ding Yu;7
Ding Yu;Wu Qingping;10
Ding Yu;Wang Juan;8
Chen Moutong;Wu Shi;5
Wu Qingping;Wu Shi;6
Wang Juan;Wu Shi;5
Chen Moutong;Wu Qingping;8
Chen Moutong;Wang Juan;5
Wang Juan;Wu Qingping;8
Jonkheer Eef M;de Ridder Dick;4
Jonkheer Eef M;Smit Sandra;5
Jonkheer Eef M;van der Lee Theo A J;5
Smit Sandra;de Ridder Dick;6
de Ridder Dick;van der Lee Theo A J;4
Smit Sandra;van der Lee Theo A J;5
Earl Joshua P;Ehrlich Rachel L;3
Earl Joshua P;Sen Bhaswati;3
Ahmed Azad;Earl Joshua P;3
Earl Joshua P;Ehrlich Garth D;4
Ehrlich Rachel L;Sen Bhaswati;3
Ahmed Azad;Ehrlich Rachel L;3
Ehrlich Garth D;Ehrlich Rachel L;4
Ahmed Azad;Sen Bhaswati;3
Ehrlich Garth D;Sen Bhaswati;3
Ahmed Azad;Ehrlich Garth D;3
Lu Huimin;Xue Hongzhang;3
Dong Xiaorui;Lu Huimin;3
Lu Huimin;Wei Chaochun;4
Coutinho Teresa A;De Maayer Pieter;3
Coutinho Teresa A;Smits Theo H M;3
McAllister Tim A;Zaheer Rahat;4
Chai Kun;Chen Shuai;3
Chen Shuai;Kong Weilong;3
Chen Shuai;Zhang Xingtan;3
Chai Kun;Kong Weilong;3
Chai Kun;Zhang Xingtan;3
Kong Weilong;Zhang Xingtan;3
Di Vittori Valerio;Nanni Laura;3
Bitocchi Elena;Di Vittori Valerio;3
Bellucci Elisa;Di Vittori Valerio;3
Di Vittori Valerio;Pieri Alice;3
Di Vittori Valerio;Papa Roberto;3
Bitocchi Elena;Nanni Laura;3
Bellucci Elisa;Nanni Laura;3
Nanni Laura;Pieri Alice;3
Nanni Laura;Papa Roberto;3
Bellucci Elisa;Bitocchi Elena;3
Bitocchi Elena;Pieri Alice;3
Bitocchi Elena;Papa Roberto;3
Bellucci Elisa;Pieri Alice;3
Bellucci Elisa;Papa Roberto;3
Papa Roberto;Pieri Alice;3
Rosen Benjamin D;Van Tassell Curtis P;4
Rosen Benjamin D;Smith Timothy P L;5
Li Yan;Lu Hengyun;3
Li Yan;Zhao Yan;3
Li Yan;Wei Xinghua;3
Li Yan;Wang Ahong;3
Li Yan;Wang Yongchun;3
Li Yan;Zhan Qilin;3
Fan Danlin;Li Yan;3
Li Yan;Zhou Congcong;3
Li Yan;Lu Yiqi;3
Li Yan;Tian Qilin;3
Li Yan;Weng Qijun;3
Feng Qi;Li Yan;3
Huang Tao;Li Yan;3
Li Yan;Zhang Lei;3
Li Yan;Wang Ziqun;3
Huang Xuehui;Li Yan;4
Li Yan;Zhao Qiang;3
Han Bin;Li Yan;4
Lu Hengyun;Zhao Yan;3
Lu Hengyun;Wei Xinghua;3
Lu Hengyun;Wang Ahong;3
Lu Hengyun;Wang Yongchun;3
Lu Hengyun;Zhan Qilin;3
Fan Danlin;Lu Hengyun;3
Lu Hengyun;Zhou Congcong;3
Lu Hengyun;Lu Yiqi;3
Lu Hengyun;Tian Qilin;3
Lu Hengyun;Weng Qijun;3
Feng Qi;Lu Hengyun;3
Huang Tao;Lu Hengyun;3
Lu Hengyun;Zhang Lei;3
Lu Hengyun;Wang Ziqun;3
Huang Xuehui;Lu Hengyun;3
Lu Hengyun;Zhao Qiang;3
Han Bin;Lu Hengyun;3
Wei Xinghua;Zhao Yan;3
Wang Ahong;Zhao Yan;3
Wang Yongchun;Zhao Yan;3
Zhan Qilin;Zhao Yan;3
Fan Danlin;Zhao Yan;3
Zhao Yan;Zhou Congcong;3
Lu Yiqi;Zhao Yan;3
Tian Qilin;Zhao Yan;3
Weng Qijun;Zhao Yan;3
Feng Qi;Zhao Yan;3
Huang Tao;Zhao Yan;3
Zhang Lei;Zhao Yan;3
Wang Ziqun;Zhao Yan;3
Huang Xuehui;Zhao Yan;3
Zhao Qiang;Zhao Yan;3
Han Bin;Zhao Yan;3
Wang Ahong;Wei Xinghua;3
Wang Yongchun;Wei Xinghua;3
Wei Xinghua;Zhan Qilin;3
Fan Danlin;Wei Xinghua;3
Wei Xinghua;Zhou Congcong;3
Lu Yiqi;Wei Xinghua;3
Tian Qilin;Wei Xinghua;3
Wei Xinghua;Weng Qijun;3
Feng Qi;Wei Xinghua;3
Huang Tao;Wei Xinghua;3
Wei Xinghua;Zhang Lei;3
Wang Ziqun;Wei Xinghua;3
Huang Xuehui;Wei Xinghua;3
Wei Xinghua;Zhao Qiang;3
Han Bin;Wei Xinghua;3
Wang Ahong;Wang Yongchun;3
Wang Ahong;Zhan Qilin;3
Fan Danlin;Wang Ahong;3
Wang Ahong;Zhou Congcong;3
Lu Yiqi;Wang Ahong;3
Tian Qilin;Wang Ahong;3
Wang Ahong;Weng Qijun;3
Feng Qi;Wang Ahong;3
Huang Tao;Wang Ahong;3
Wang Ahong;Zhang Lei;3
Wang Ahong;Wang Ziqun;3
Huang Xuehui;Wang Ahong;3
Wang Ahong;Zhao Qiang;3
Han Bin;Wang Ahong;3
Wang Yongchun;Zhan Qilin;3
Fan Danlin;Wang Yongchun;3
Wang Yongchun;Zhou Congcong;3
Lu Yiqi;Wang Yongchun;3
Tian Qilin;Wang Yongchun;3
Wang Yongchun;Weng Qijun;3
Feng Qi;Wang Yongchun;3
Huang Tao;Wang Yongchun;3
Wang Yongchun;Zhang Lei;3
Wang Yongchun;Wang Ziqun;3
Huang Xuehui;Wang Yongchun;3
Wang Yongchun;Zhao Qiang;3
Han Bin;Wang Yongchun;3
Fan Danlin;Zhan Qilin;3
Zhan Qilin;Zhou Congcong;3
Lu Yiqi;Zhan Qilin;3
Tian Qilin;Zhan Qilin;3
Weng Qijun;Zhan Qilin;3
Feng Qi;Zhan Qilin;3
Huang Tao;Zhan Qilin;3
Zhan Qilin;Zhang Lei;3
Wang Ziqun;Zhan Qilin;3
Huang Xuehui;Zhan Qilin;3
Zhan Qilin;Zhao Qiang;3
Han Bin;Zhan Qilin;3
Fan Danlin;Zhou Congcong;3
Fan Danlin;Lu Yiqi;3
Fan Danlin;Tian Qilin;3
Fan Danlin;Weng Qijun;3
Fan Danlin;Feng Qi;3
Fan Danlin;Huang Tao;3
Fan Danlin;Zhang Lei;3
Fan Danlin;Wang Ziqun;3
Fan Danlin;Huang Xuehui;3
Fan Danlin;Zhao Qiang;3
Fan Danlin;Han Bin;3
Lu Yiqi;Zhou Congcong;3
Tian Qilin;Zhou Congcong;3
Weng Qijun;Zhou Congcong;3
Feng Qi;Zhou Congcong;3
Huang Tao;Zhou Congcong;3
Zhang Lei;Zhou Congcong;3
Wang Ziqun;Zhou Congcong;3
Huang Xuehui;Zhou Congcong;3
Zhao Qiang;Zhou Congcong;3
Han Bin;Zhou Congcong;3
Lu Yiqi;Tian Qilin;3
Lu Yiqi;Weng Qijun;3
Feng Qi;Lu Yiqi;3
Huang Tao;Lu Yiqi;3
Lu Yiqi;Zhang Lei;3
Lu Yiqi;Wang Ziqun;3
Huang Xuehui;Lu Yiqi;3
Lu Yiqi;Zhao Qiang;3
Han Bin;Lu Yiqi;3
Tian Qilin;Weng Qijun;3
Feng Qi;Tian Qilin;3
Huang Tao;Tian Qilin;3
Tian Qilin;Zhang Lei;3
Tian Qilin;Wang Ziqun;3
Huang Xuehui;Tian Qilin;3
Tian Qilin;Zhao Qiang;3
Han Bin;Tian Qilin;3
Feng Qi;Weng Qijun;3
Huang Tao;Weng Qijun;3
Weng Qijun;Zhang Lei;3
Wang Ziqun;Weng Qijun;3
Huang Xuehui;Weng Qijun;3
Weng Qijun;Zhao Qiang;3
Han Bin;Weng Qijun;3
Feng Qi;Huang Tao;3
Feng Qi;Zhang Lei;3
Feng Qi;Wang Ziqun;3
Feng Qi;Huang Xuehui;3
Feng Qi;Zhao Qiang;3
Feng Qi;Han Bin;3
Huang Tao;Zhang Lei;3
Huang Tao;Wang Ziqun;3
Huang Tao;Huang Xuehui;3
Huang Tao;Zhao Qiang;3
Han Bin;Huang Tao;3
Wang Ziqun;Zhang Lei;3
Huang Xuehui;Zhang Lei;3
Zhang Lei;Zhao Qiang;3
Han Bin;Zhang Lei;3
Huang Xuehui;Wang Ziqun;3
Wang Ziqun;Zhao Qiang;3
Han Bin;Wang Ziqun;3
Huang Xuehui;Zhao Qiang;3
Han Bin;Huang Xuehui;4
Han Bin;Zhao Qiang;3
Wang Hui;Wang Qi;3
He Wenchuang;Yang Longbo;4
Lv Yang;Yang Longbo;4
Yang Longbo;Zhang Qianqian;4
Wang Tianyi;Yang Longbo;4
Wei Hua;Yang Longbo;4
Cao Xinglan;Yang Longbo;4
Cui Yan;Yang Longbo;4
Yang Longbo;Zhang Bin;4
Chen Wu;Yang Longbo;4
He Huiying;Yang Longbo;4
Wang Xianmeng;Yang Longbo;4
Liu Congcong;Yang Longbo;3
Shi Chuanlin;Yang Longbo;4
Liu Xiangpei;Yang Longbo;4
Xu Qiang;Yang Longbo;4
Yang Longbo;Yuan Qiaoling;4
Yang Longbo;Yu Xiaoman;4
Qian Hongge;Yang Longbo;4
Li Xiaoxia;Yang Longbo;4
Yang Longbo;Zhang Bintao;4
Yang Longbo;Zhang Hong;4
Leng Yue;Yang Longbo;4
Yang Longbo;Zhang Zhipeng;4
Dai Xiaofan;Yang Longbo;4
Guo Mingliang;Yang Longbo;4
Qian Qian;Yang Longbo;4
Shang Lianguang;Yang Longbo;4
He Wenchuang;Lv Yang;4
He Wenchuang;Zhang Qianqian;4
He Wenchuang;Wang Tianyi;4
He Wenchuang;Wei Hua;4
Cao Xinglan;He Wenchuang;4
Cui Yan;He Wenchuang;4
He Wenchuang;Zhang Bin;4
Chen Wu;He Wenchuang;4
He Huiying;He Wenchuang;4
He Wenchuang;Wang Xianmeng;4
He Wenchuang;Liu Congcong;3
He Wenchuang;Shi Chuanlin;4
He Wenchuang;Liu Xiangpei;4
He Wenchuang;Xu Qiang;4
He Wenchuang;Yuan Qiaoling;4
He Wenchuang;Yu Xiaoman;4
He Wenchuang;Qian Hongge;4
He Wenchuang;Li Xiaoxia;4
He Wenchuang;Zhang Bintao;4
He Wenchuang;Zhang Hong;4
He Wenchuang;Leng Yue;4
He Wenchuang;Zhang Zhipeng;4
Dai Xiaofan;He Wenchuang;4
Guo Mingliang;He Wenchuang;4
He Wenchuang;Qian Qian;5
He Wenchuang;Shang Lianguang;5
He Huiying;Zhu Yiwang;3
Shi Chuanlin;Zhu Yiwang;3
Yuan Qiaoling;Zhu Yiwang;3
Yu Xiaoman;Zhu Yiwang;3
Qian Hongge;Zhu Yiwang;3
Qian Qian;Zhu Yiwang;3
Shang Lianguang;Zhu Yiwang;3
Lv Yang;Zhang Qianqian;4
Lv Yang;Wang Tianyi;5
Lv Yang;Wei Hua;5
Cao Xinglan;Lv Yang;4
Cui Yan;Lv Yang;4
Lv Yang;Zhang Bin;5
Chen Wu;Lv Yang;4
He Huiying;Lv Yang;5
Lv Yang;Wang Xianmeng;4
Liu Congcong;Lv Yang;3
Lv Yang;Shi Chuanlin;4
Liu Xiangpei;Lv Yang;5
Lv Yang;Xu Qiang;4
Lv Yang;Yuan Qiaoling;5
Lv Yang;Yu Xiaoman;6
Lv Yang;Qian Hongge;4
Li Xiaoxia;Lv Yang;5
Lv Yang;Zhang Bintao;5
Lv Yang;Zhang Hong;5
Leng Yue;Lv Yang;4
Lv Yang;Zhang Zhipeng;4
Dai Xiaofan;Lv Yang;4
Guo Mingliang;Lv Yang;4
Lv Yang;Qian Qian;6
Lv Yang;Shang Lianguang;6
Wang Tianyi;Zhang Qianqian;4
Wei Hua;Zhang Qianqian;4
Cao Xinglan;Zhang Qianqian;4
Cui Yan;Zhang Qianqian;4
Zhang Bin;Zhang Qianqian;4
Chen Wu;Zhang Qianqian;4
He Huiying;Zhang Qianqian;4
Wang Xianmeng;Zhang Qianqian;4
Liu Congcong;Zhang Qianqian;3
Shi Chuanlin;Zhang Qianqian;4
Liu Xiangpei;Zhang Qianqian;4
Xu Qiang;Zhang Qianqian;4
Yuan Qiaoling;Zhang Qianqian;4
Yu Xiaoman;Zhang Qianqian;4
Qian Hongge;Zhang Qianqian;4
Li Xiaoxia;Zhang Qianqian;4
Zhang Bintao;Zhang Qianqian;4
Zhang Hong;Zhang Qianqian;4
Leng Yue;Zhang Qianqian;4
Zhang Qianqian;Zhang Zhipeng;4
Dai Xiaofan;Zhang Qianqian;4
Guo Mingliang;Zhang Qianqian;4
Qian Qian;Zhang Qianqian;4
Shang Lianguang;Zhang Qianqian;4
Wang Tianyi;Wei Hua;4
Cao Xinglan;Wang Tianyi;4
Cui Yan;Wang Tianyi;4
Wang Tianyi;Zhang Bin;5
Chen Wu;Wang Tianyi;4
He Huiying;Wang Tianyi;5
Wang Tianyi;Wang Xianmeng;4
Liu Congcong;Wang Tianyi;3
Shi Chuanlin;Wang Tianyi;4
Liu Xiangpei;Wang Tianyi;5
Wang Tianyi;Xu Qiang;4
Wang Tianyi;Yuan Qiaoling;5
Wang Tianyi;Yu Xiaoman;5
Qian Hongge;Wang Tianyi;4
Li Xiaoxia;Wang Tianyi;5
Wang Tianyi;Zhang Bintao;5
Wang Tianyi;Zhang Hong;5
Leng Yue;Wang Tianyi;4
Wang Tianyi;Zhang Zhipeng;4
Dai Xiaofan;Wang Tianyi;4
Guo Mingliang;Wang Tianyi;4
Qian Qian;Wang Tianyi;5
Shang Lianguang;Wang Tianyi;5
Cao Xinglan;Wei Hua;4
Cui Yan;Wei Hua;4
Wei Hua;Zhang Bin;4
Chen Wu;Wei Hua;4
He Huiying;Wei Hua;4
Wang Xianmeng;Wei Hua;4
Liu Congcong;Wei Hua;3
Shi Chuanlin;Wei Hua;4
Liu Xiangpei;Wei Hua;4
Wei Hua;Xu Qiang;4
Wei Hua;Yuan Qiaoling;4
Wei Hua;Yu Xiaoman;5
Qian Hongge;Wei Hua;4
Li Xiaoxia;Wei Hua;4
Wei Hua;Zhang Bintao;4
Wei Hua;Zhang Hong;4
Leng Yue;Wei Hua;4
Wei Hua;Zhang Zhipeng;4
Dai Xiaofan;Wei Hua;4
Guo Mingliang;Wei Hua;4
Qian Qian;Wei Hua;5
Shang Lianguang;Wei Hua;5
Cao Xinglan;Cui Yan;4
Cao Xinglan;Zhang Bin;4
Cao Xinglan;Chen Wu;4
Cao Xinglan;He Huiying;4
Cao Xinglan;Wang Xianmeng;4
Cao Xinglan;Liu Congcong;3
Cao Xinglan;Shi Chuanlin;4
Cao Xinglan;Liu Xiangpei;4
Cao Xinglan;Xu Qiang;4
Cao Xinglan;Yuan Qiaoling;4
Cao Xinglan;Yu Xiaoman;4
Cao Xinglan;Qian Hongge;4
