source;target;weight
Hu Haifei;Lux Thomas;3
Hu Haifei;Mayer Klaus F X;3
Hu Haifei;Stein Nils;3
Hu Haifei;Wang Penghao;3
Hu Haifei;Zhang Xiao-Qi;3
Hu Haifei;Li Chengdao;8
Hu Haifei;Spannagl Manuel;3
Hu Haifei;Mascher Martin;3
Jannink Jean-Luc;Michel Steve;3
Jannink Jean-Luc;Sen Taner Z;4
Jannink Jean-Luc;Waters Amanda J;3
Jannink Jean-Luc;Wight Charlene P;4
Jannink Jean-Luc;Yao Eric;4
Jannink Jean-Luc;Tinker Nicholas A;3
Jia Yong;Lux Thomas;3
Jia Yong;Mayer Klaus F X;3
Jia Yong;Stein Nils;3
Jia Yong;Wang Penghao;3
Jia Yong;Zhang Xiao-Qi;3
Jia Yong;Li Chengdao;7
Jia Yong;Spannagl Manuel;3
Jia Yong;Mascher Martin;3
Knauft Manuela;Lux Thomas;4
Knauft Manuela;Mayer Klaus F X;4
Knauft Manuela;Stein Nils;4
Knauft Manuela;Wang Penghao;3
Knauft Manuela;Zhang Xiao-Qi;3
Knauft Manuela;Li Chengdao;3
Knauft Manuela;Spannagl Manuel;4
Knauft Manuela;Mascher Martin;4
Lux Thomas;Mayer Klaus F X;10
Lux Thomas;Stein Nils;10
Lux Thomas;Walkowiak Sean;3
Lux Thomas;Wang Penghao;5
Lux Thomas;Zhang Xiao-Qi;5
Lux Thomas;Zhou Gaofeng;3
Li Chengdao;Lux Thomas;5
Lux Thomas;Spannagl Manuel;12
Lux Thomas;Mascher Martin;10
Mayer Klaus F X;Stein Nils;8
Mayer Klaus F X;Wang Penghao;5
Mayer Klaus F X;Zhang Xiao-Qi;5
Mayer Klaus F X;Zhou Gaofeng;3
Li Chengdao;Mayer Klaus F X;5
Mayer Klaus F X;Spannagl Manuel;11
Mascher Martin;Mayer Klaus F X;8
Michel Steve;Sen Taner Z;3
Michel Steve;Waters Amanda J;3
Michel Steve;Wight Charlene P;3
Michel Steve;Yao Eric;3
Sen Taner Z;Waters Amanda J;3
Sen Taner Z;Wight Charlene P;4
Sen Taner Z;Yao Eric;4
Sen Taner Z;Tinker Nicholas A;3
Stein Nils;Walkowiak Sean;3
Stein Nils;Wang Penghao;5
